test,subject,stimulus,result,section,signal_type,source,stimulus_signal
test_1,7,Reference,100,1,drums,horizontal,Reference_drums
test_1,8,Reference,100,1,drums,horizontal,Reference_drums
test_1,9,Reference,100,1,drums,horizontal,Reference_drums
test_2,10,Passive,74,1,speech,horizontal,Passive_speech
test_2,11,Passive,64,1,speech,horizontal,Passive_speech
test_2,12,Passive,78,1,speech,horizontal,Passive_speech
test_2,13,Passive,43,1,speech,horizontal,Passive_speech
test_2,14,Passive,4,1,speech,horizontal,Passive_speech
test_2,15,Passive,52,1,speech,horizontal,Passive_speech
test_2,17,Passive,34,1,speech,horizontal,Passive_speech
test_2,18,Passive,46,1,speech,horizontal,Passive_speech
test_2,19,Passive,36,1,speech,horizontal,Passive_speech
test_2,1,Passive,46,1,speech,horizontal,Passive_speech
test_2,20,Passive,58,1,speech,horizontal,Passive_speech
test_2,2,Passive,45,1,speech,horizontal,Passive_speech
test_2,3,Passive,70,1,speech,horizontal,Passive_speech
test_2,4,Passive,81,1,speech,horizontal,Passive_speech
test_2,5,Passive,98,1,speech,horizontal,Passive_speech
test_2,6,Passive,55,1,speech,horizontal,Passive_speech
test_2,7,Passive,35,1,speech,horizontal,Passive_speech
test_2,8,Passive,63,1,speech,horizontal,Passive_speech
test_2,9,Passive,87,1,speech,horizontal,Passive_speech
test_2,10,Anchor,70,1,speech,horizontal,Anchor_speech
test_2,11,Anchor,29,1,speech,horizontal,Anchor_speech
test_2,12,Anchor,79,1,speech,horizontal,Anchor_speech
test_2,13,Anchor,37,1,speech,horizontal,Anchor_speech
test_2,14,Anchor,0,1,speech,horizontal,Anchor_speech
test_2,15,Anchor,0,1,speech,horizontal,Anchor_speech
test_2,17,Anchor,7,1,speech,horizontal,Anchor_speech
test_2,18,Anchor,23,1,speech,horizontal,Anchor_speech
test_2,19,Anchor,46,1,speech,horizontal,Anchor_speech
test_2,1,Anchor,50,1,speech,horizontal,Anchor_speech
test_2,20,Anchor,81,1,speech,horizontal,Anchor_speech
test_2,2,Anchor,29,1,speech,horizontal,Anchor_speech
test_2,3,Anchor,44,1,speech,horizontal,Anchor_speech
test_2,4,Anchor,61,1,speech,horizontal,Anchor_speech
test_2,5,Anchor,94,1,speech,horizontal,Anchor_speech
test_2,6,Anchor,34,1,speech,horizontal,Anchor_speech
test_2,7,Anchor,30,1,speech,horizontal,Anchor_speech
test_2,8,Anchor,36,1,speech,horizontal,Anchor_speech
test_2,9,Anchor,39,1,speech,horizontal,Anchor_speech
test_2,10,Hybrid,100,1,speech,horizontal,Hybrid_speech
test_2,11,Hybrid,79,1,speech,horizontal,Hybrid_speech
test_2,12,Hybrid,80,1,speech,horizontal,Hybrid_speech
test_2,13,Hybrid,68,1,speech,horizontal,Hybrid_speech
test_2,14,Hybrid,85,1,speech,horizontal,Hybrid_speech
test_2,15,Hybrid,70,1,speech,horizontal,Hybrid_speech
test_2,17,Hybrid,53,1,speech,horizontal,Hybrid_speech
test_2,18,Hybrid,59,1,speech,horizontal,Hybrid_speech
test_2,19,Hybrid,86,1,speech,horizontal,Hybrid_speech
test_2,1,Hybrid,79,1,speech,horizontal,Hybrid_speech
